Longest code length: 11
Largest symbol: 256

code length, code, symbol, code LSB->MSB, code MSB->LSB
10, 401, 59, 1000100110, 0110010001
10, 404, 217, 0010100110, 0110010100
10, 424, 251, 0001010110, 0110101000
10, 428, 41, 0011010110, 0110101100
10, 441, 159, 1001110110, 0110111001
10, 444, 187, 0011110110, 0110111100
10, 445, 216, 1011110110, 0110111101
10, 449, 165, 1000001110, 0111000001
10, 453, 205, 1010001110, 0111000101
10, 455, 78, 1110001110, 0111000111
10, 461, 214, 1011001110, 0111001101
10, 465, 167, 1000101110, 0111010001
10, 467, 84, 1100101110, 0111010011
10, 471, 240, 1110101110, 0111010111
10, 477, 20, 1011101110, 0111011101
10, 483, 86, 1100011110, 0111100011
10, 491, 28, 1101011110, 0111101011
10, 499, 63, 1100111110, 0111110011
10, 505, 161, 1001111110, 0111111001
10, 515, 186, 1100000001, 1000000011
10, 517, 238, 1010000001, 1000000101
10, 532, 185, 0010100001, 1000010100
10, 541, 246, 1011100001, 1000011101
10, 547, 236, 1100010001, 1000100011
10, 555, 22, 1101010001, 1000101011
10, 556, 201, 0011010001, 1000101100
10, 561, 233, 1000110001, 1000110001
10, 563, 87, 1100110001, 1000110011
10, 573, 178, 1011110001, 1000111101
10, 581, 155, 1010001001, 1001000101
10, 609, 235, 1000011001, 1001100001
10, 611, 190, 1100011001, 1001100011
10, 619, 172, 1101011001, 1001101011
10, 625, 44, 1000111001, 1001110001
10, 653, 253, 1011000101, 1010001101
10, 665, 183, 1001100101, 1010011001
10, 669, 188, 1011100101, 1010011101
10, 683, 77, 1101010101, 1010101011
10, 697, 252, 1001110101, 1010111001
10, 705, 239, 1000001101, 1011000001
10, 709, 242, 1010001101, 1011000101
10, 715, 89, 1101001101, 1011001011
10, 717, 35, 1011001101, 1011001101
10, 723, 230, 1100101101, 1011010011
10, 727, 74, 1110101101, 1011010111
10, 733, 164, 1011101101, 1011011101
10, 739, 170, 1100011101, 1011100011
10, 752, 45, 0000111101, 1011110000
10, 760, 227, 0001111101, 1011111000
10, 761, 250, 1001111101, 1011111001
10, 768, 243, 0000000011, 1100000000
10, 775, 198, 1110000011, 1100000111
10, 781, 38, 1011000011, 1100001101
10, 797, 166, 1011100011, 1100011101
10, 803, 23, 1100010011, 1100100011
10, 811, 152, 1101010011, 1100101011
10, 819, 79, 1100110011, 1100110011
10, 837, 171, 1010001011, 1101000101
10, 845, 206, 1011001011, 1101001101
10, 856, 249, 0001101011, 1101011000
10, 867, 27, 1100011011, 1101100011
10, 875, 83, 1101011011, 1101101011
10, 881, 75, 1000111011, 1101110001
10, 897, 189, 1000000111, 1110000001
10, 909, 218, 1011000111, 1110001101
10, 913, 231, 1000100111, 1110010001
10, 916, 215, 0010100111, 1110010100
10, 936, 245, 0001010111, 1110101000
10, 940, 181, 0011010111, 1110101100
10, 953, 209, 1001110111, 1110111001
10, 956, 179, 0011110111, 1110111100
10, 957, 220, 1011110111, 1110111101
10, 961, 177, 1000001111, 1111000001
10, 965, 36, 1010001111, 1111000101
10, 967, 197, 1110001111, 1111000111
10, 973, 39, 1011001111, 1111001101
10, 977, 244, 1000101111, 1111010001
10, 979, 184, 1100101111, 1111010011
10, 983, 147, 1110101111, 1111010111
10, 989, 222, 1011101111, 1111011101
10, 995, 182, 1100011111, 1111100011
10, 1003, 158, 1101011111, 1111101011
10, 1011, 21, 1100111111, 1111110011
10, 1017, 37, 1001111111, 1111111001
11, 1280, 247, 00000000101, 10100000000
